STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
39,009,9736.00,3055,390099736003055,1,1,0,1,0,0,0,0
39,009,9736.00,3062,390099736003062,0,0,0,0,0,0,0,0
39,105,9641.00,1000,391059641001000,0,0,0,0,0,0,0,0
39,105,9641.00,1001,391059641001001,0,0,0,0,0,0,0,0
39,105,9641.00,1002,391059641001002,0,0,0,0,0,0,0,0
39,105,9641.00,1003,391059641001003,10,10,0,10,0,0,0,0
39,105,9641.00,1004,391059641001004,54,54,0,54,0,0,0,0
39,105,9641.00,1005,391059641001005,0,0,0,0,0,0,0,0
39,105,9641.00,1006,391059641001006,0,0,0,0,0,0,0,0
39,105,9641.00,1007,391059641001007,1,1,0,1,0,0,0,0
39,105,9641.00,1008,391059641001008,0,0,0,0,0,0,0,0
39,105,9641.00,1009,391059641001009,7,7,0,7,0,0,0,0
39,105,9641.00,1010,391059641001010,26,26,0,26,0,0,0,0
39,105,9641.00,1011,391059641001011,0,0,0,0,0,0,0,0
39,105,9641.00,1012,391059641001012,1,1,0,1,0,0,0,0
39,105,9641.00,1013,391059641001013,29,29,0,29,0,0,0,0
39,105,9641.00,1014,391059641001014,6,6,0,6,0,0,0,0
39,105,9641.00,1015,391059641001015,5,5,0,5,0,0,0,0
39,105,9641.00,1016,391059641001016,1,1,0,1,0,0,0,0
39,105,9641.00,1017,391059641001017,9,9,0,9,0,0,0,0
39,105,9641.00,1018,391059641001018,15,15,0,15,0,0,0,0
39,105,9641.00,1019,391059641001019,3,3,0,3,0,0,0,0
39,105,9641.00,1020,391059641001020,0,0,0,0,0,0,0,0
39,105,9641.00,1021,391059641001021,11,11,0,11,0,0,0,0
39,105,9641.00,1022,391059641001022,5,5,0,5,0,0,0,0
39,105,9641.00,1023,391059641001023,9,9,0,9,0,0,0,0
39,105,9641.00,1024,391059641001024,19,19,0,19,0,0,0,0
39,105,9641.00,1025,391059641001025,2,2,0,2,0,0,0,0
39,105,9641.00,1026,391059641001026,3,3,0,3,0,0,0,0
39,105,9641.00,1027,391059641001027,16,16,0,16,0,0,0,0
39,105,9641.00,1028,391059641001028,19,19,0,19,0,0,0,0
39,105,9641.00,1029,391059641001029,1,1,0,1,0,0,0,0
39,105,9641.00,1030,391059641001030,0,0,0,0,0,0,0,0
39,105,9641.00,1031,391059641001031,0,0,0,0,0,0,0,0
39,105,9641.00,1032,391059641001032,25,25,0,25,0,0,0,0
39,105,9641.00,1034,391059641001034,44,44,0,44,0,0,0,0
39,105,9641.00,1035,391059641001035,0,0,0,0,0,0,0,0
39,105,9641.00,1036,391059641001036,13,13,0,13,0,0,0,0
39,105,9641.00,1037,391059641001037,1,1,0,1,0,0,0,0
39,105,9641.00,1038,391059641001038,28,28,0,28,0,0,0,0
39,105,9641.00,1039,391059641001039,0,0,0,0,0,0,0,0
39,105,9641.00,1040,391059641001040,29,29,0,29,0,0,0,0
39,105,9641.00,1041,391059641001041,0,0,0,0,0,0,0,0
39,105,9641.00,1042,391059641001042,23,23,0,23,0,0,0,0
39,105,9641.00,1043,391059641001043,108,108,0,108,0,0,0,0
39,105,9641.00,1044,391059641001044,27,27,0,27,0,0,0,0
39,105,9641.00,1045,391059641001045,30,30,0,30,0,0,0,0
39,105,9641.00,1046,391059641001046,1,1,0,1,0,0,0,0
39,105,9641.00,1047,391059641001047,11,11,0,11,0,0,0,0
39,105,9641.00,1048,391059641001048,0,0,0,0,0,0,0,0
39,105,9641.00,1049,391059641001049,0,0,0,0,0,0,0,0
39,105,9641.00,1050,391059641001050,4,4,0,4,0,0,0,0
39,105,9641.00,1051,391059641001051,26,26,0,26,0,0,0,0
39,105,9641.00,1052,391059641001052,3,3,0,3,0,0,0,0
39,105,9641.00,1053,391059641001053,8,8,0,8,0,0,0,0
39,105,9641.00,1054,391059641001054,0,0,0,0,0,0,0,0
39,105,9641.00,1055,391059641001055,0,0,0,0,0,0,0,0
39,105,9641.00,1056,391059641001056,2,2,0,2,0,0,0,0
39,105,9641.00,1057,391059641001057,3,3,0,3,0,0,0,0
39,105,9641.00,1058,391059641001058,0,0,0,0,0,0,0,0
39,105,9641.00,1060,391059641001060,10,10,0,10,0,0,0,0
39,105,9641.00,1061,391059641001061,24,24,0,24,0,0,0,0
39,105,9641.00,1062,391059641001062,3,3,0,3,0,0,0,0
39,105,9641.00,1063,391059641001063,1,1,0,1,0,0,0,0
39,105,9641.00,1064,391059641001064,0,0,0,0,0,0,0,0
39,105,9641.00,1065,391059641001065,33,33,0,33,0,0,0,0
39,105,9641.00,1066,391059641001066,12,12,0,12,0,0,0,0
39,105,9641.00,1067,391059641001067,28,28,0,28,0,0,0,0
39,105,9641.00,1068,391059641001068,0,0,0,0,0,0,0,0
39,105,9641.00,1069,391059641001069,0,0,0,0,0,0,0,0
39,105,9641.00,1070,391059641001070,14,14,0,14,0,0,0,0
39,105,9641.00,1071,391059641001071,4,4,0,4,0,0,0,0
39,105,9641.00,1072,391059641001072,17,17,0,17,0,0,0,0
39,105,9641.00,1073,391059641001073,6,6,0,6,0,0,0,0
39,105,9641.00,1074,391059641001074,0,0,0,0,0,0,0,0
39,105,9641.00,1075,391059641001075,16,16,0,16,0,0,0,0
39,105,9641.00,1076,391059641001076,0,0,0,0,0,0,0,0
39,105,9641.00,1077,391059641001077,1,1,0,1,0,0,0,0
39,105,9641.00,1078,391059641001078,4,4,0,4,0,0,0,0
39,105,9641.00,1079,391059641001079,4,4,0,4,0,0,0,0
39,105,9641.00,1080,391059641001080,0,0,0,0,0,0,0,0
39,105,9641.00,1081,391059641001081,10,10,0,10,0,0,0,0
39,105,9641.00,1082,391059641001082,0,0,0,0,0,0,0,0
39,105,9641.00,1083,391059641001083,5,5,0,5,0,0,0,0
39,105,9641.00,1084,391059641001084,0,0,0,0,0,0,0,0
39,105,9641.00,1085,391059641001085,2,2,0,2,0,0,0,0
39,105,9641.00,2000,391059641002000,0,0,0,0,0,0,0,0
39,105,9641.00,2001,391059641002001,5,5,0,5,0,0,0,0
39,105,9641.00,2002,391059641002002,1,1,0,1,0,0,0,0
39,105,9641.00,2003,391059641002003,8,8,0,8,0,0,0,0
39,105,9641.00,2004,391059641002004,5,5,0,5,0,0,0,0
39,105,9641.00,2005,391059641002005,12,12,0,12,0,0,0,0
39,105,9641.00,2006,391059641002006,15,15,0,15,0,0,0,0
39,105,9641.00,2007,391059641002007,0,0,0,0,0,0,0,0
39,105,9641.00,2008,391059641002008,2,2,0,2,0,0,0,0
39,105,9641.00,2009,391059641002009,12,12,0,12,0,0,0,0
39,105,9641.00,2010,391059641002010,3,3,0,3,0,0,0,0
39,105,9641.00,2011,391059641002011,12,12,0,12,0,0,0,0
39,105,9641.00,2012,391059641002012,1,1,0,1,0,0,0,0
39,105,9641.00,2013,391059641002013,0,0,0,0,0,0,0,0
39,105,9641.00,2014,391059641002014,0,0,0,0,0,0,0,0
39,105,9641.00,2015,391059641002015,11,11,0,11,0,0,0,0
39,105,9641.00,2016,391059641002016,0,0,0,0,0,0,0,0
39,105,9641.00,2017,391059641002017,22,22,0,22,0,0,0,0
39,105,9641.00,2018,391059641002018,0,0,0,0,0,0,0,0
39,105,9641.00,2019,391059641002019,0,0,0,0,0,0,0,0
39,105,9641.00,2020,391059641002020,0,0,0,0,0,0,0,0
39,105,9641.00,2021,391059641002021,0,0,0,0,0,0,0,0
39,105,9641.00,2022,391059641002022,0,0,0,0,0,0,0,0
39,105,9641.00,2023,391059641002023,12,12,0,12,0,0,0,0
39,105,9641.00,2024,391059641002024,38,38,0,38,0,0,0,0
39,105,9641.00,2025,391059641002025,13,13,0,13,0,0,0,0
39,105,9641.00,2026,391059641002026,4,4,0,4,0,0,0,0
39,105,9641.00,2027,391059641002027,4,4,0,4,0,0,0,0
39,105,9641.00,2028,391059641002028,6,6,0,6,0,0,0,0
39,105,9641.00,2029,391059641002029,0,0,0,0,0,0,0,0
39,105,9641.00,2030,391059641002030,6,6,0,6,0,0,0,0
39,105,9641.00,2031,391059641002031,25,25,0,25,0,0,0,0
39,105,9641.00,2032,391059641002032,0,0,0,0,0,0,0,0
39,105,9641.00,2033,391059641002033,4,4,0,4,0,0,0,0
39,105,9641.00,2034,391059641002034,0,0,0,0,0,0,0,0
39,105,9641.00,2035,391059641002035,1,1,0,1,0,0,0,0
39,105,9641.00,2036,391059641002036,4,4,0,4,0,0,0,0
39,105,9641.00,2037,391059641002037,3,3,0,3,0,0,0,0
39,105,9641.00,2038,391059641002038,7,7,0,7,0,0,0,0
39,105,9641.00,2040,391059641002040,1,1,0,1,0,0,0,0
39,105,9641.00,2041,391059641002041,25,25,0,25,0,0,0,0
39,105,9641.00,2042,391059641002042,7,7,0,7,0,0,0,0
39,105,9641.00,2043,391059641002043,15,15,0,15,0,0,0,0
39,105,9641.00,2045,391059641002045,2,2,0,2,0,0,0,0
39,105,9641.00,2046,391059641002046,2,2,0,2,0,0,0,0
39,105,9641.00,2047,391059641002047,2,2,0,2,0,0,0,0
39,105,9641.00,2048,391059641002048,0,0,0,0,0,0,0,0
39,105,9641.00,2049,391059641002049,1,1,0,1,0,0,0,0
39,105,9641.00,2050,391059641002050,13,13,0,13,0,0,0,0
39,105,9641.00,2051,391059641002051,16,16,0,16,0,0,0,0
39,105,9641.00,2052,391059641002052,0,0,0,0,0,0,0,0
39,105,9641.00,2053,391059641002053,17,17,0,17,0,0,0,0
39,105,9641.00,2054,391059641002054,0,0,0,0,0,0,0,0
39,105,9641.00,2055,391059641002055,1,1,0,1,0,0,0,0
39,105,9641.00,2056,391059641002056,1,1,0,1,0,0,0,0
39,105,9641.00,2057,391059641002057,0,0,0,0,0,0,0,0
39,105,9641.00,2058,391059641002058,6,6,0,6,0,0,0,0
39,105,9641.00,2059,391059641002059,7,7,0,7,0,0,0,0
39,105,9641.00,2060,391059641002060,48,48,0,48,0,0,0,0
