STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
09,003,4711.00,1000,090034711001000,106,106,0,106,0,0,0,0
09,003,4711.00,1001,090034711001001,11,11,0,11,0,0,0,0
09,003,4711.00,1002,090034711001002,16,16,0,16,0,0,0,0
09,003,4711.00,1003,090034711001003,15,15,0,15,0,0,0,0
09,003,4711.00,1004,090034711001004,10,10,0,10,0,0,0,0
09,003,4711.00,1005,090034711001005,10,10,0,10,0,0,0,0
09,003,4711.00,1006,090034711001006,4,4,0,4,0,0,0,0
09,003,4711.00,1007,090034711001007,131,131,0,131,0,0,0,0
09,003,4711.00,1008,090034711001008,22,22,0,22,0,0,0,0
09,003,4711.00,1009,090034711001009,13,13,0,13,0,0,0,0
09,003,4711.00,1010,090034711001010,92,92,0,92,0,0,0,0
09,003,4711.00,1011,090034711001011,12,12,0,12,0,0,0,0
09,003,4711.00,1012,090034711001012,13,13,0,13,0,0,0,0
09,003,4711.00,1013,090034711001013,16,16,0,16,0,0,0,0
09,003,4711.00,1014,090034711001014,10,10,0,10,0,0,0,0
09,003,4711.00,1015,090034711001015,111,111,0,111,0,0,0,0
09,003,4711.00,1016,090034711001016,1,1,0,1,0,0,0,0
09,003,4711.00,1017,090034711001017,11,11,0,11,0,0,0,0
09,003,4711.00,1018,090034711001018,26,26,0,26,0,0,0,0
09,003,4711.00,2000,090034711002000,17,17,0,17,0,0,0,0
09,003,4711.00,2001,090034711002001,22,22,0,22,0,0,0,0
09,003,4711.00,2002,090034711002002,18,18,0,18,0,0,0,0
09,003,4711.00,2003,090034711002003,18,18,0,18,0,0,0,0
09,003,4711.00,2004,090034711002004,17,17,0,17,0,0,0,0
09,003,4711.00,2005,090034711002005,13,13,0,13,0,0,0,0
09,003,4711.00,2006,090034711002006,11,11,0,11,0,0,0,0
09,003,4711.00,2007,090034711002007,23,23,0,23,0,0,0,0
09,003,4711.00,2008,090034711002008,25,25,0,25,0,0,0,0
09,003,4711.00,2009,090034711002009,11,11,0,11,0,0,0,0
09,003,4711.00,2010,090034711002010,14,14,0,14,0,0,0,0
09,003,4711.00,2011,090034711002011,23,23,0,23,0,0,0,0
09,003,4711.00,2012,090034711002012,23,23,0,23,0,0,0,0
09,003,4711.00,2013,090034711002013,15,15,0,15,0,0,0,0
09,003,4711.00,2014,090034711002014,4,4,0,4,0,0,0,0
09,003,4711.00,2015,090034711002015,14,14,0,14,0,0,0,0
09,003,4711.00,3000,090034711003000,0,0,0,0,0,0,0,0
09,003,4711.00,3001,090034711003001,0,0,0,0,0,0,0,0
09,003,4711.00,3002,090034711003002,0,0,0,0,0,0,0,0
09,003,4711.00,3003,090034711003003,0,0,0,0,0,0,0,0
09,003,4711.00,3004,090034711003004,0,0,0,0,0,0,0,0
09,003,4711.00,3005,090034711003005,0,0,0,0,0,0,0,0
09,003,4711.00,3006,090034711003006,0,0,0,0,0,0,0,0
09,003,4711.00,3007,090034711003007,0,0,0,0,0,0,0,0
09,003,4711.00,3008,090034711003008,0,0,0,0,0,0,0,0
09,003,4711.00,3009,090034711003009,0,0,0,0,0,0,0,0
09,003,4711.00,3010,090034711003010,0,0,0,0,0,0,0,0
09,003,4711.00,3011,090034711003011,0,0,0,0,0,0,0,0
09,003,4711.00,3012,090034711003012,0,0,0,0,0,0,0,0
09,003,4711.00,3013,090034711003013,0,0,0,0,0,0,0,0
09,003,4711.00,3014,090034711003014,0,0,0,0,0,0,0,0
09,003,4711.00,3015,090034711003015,0,0,0,0,0,0,0,0
09,003,4711.00,3016,090034711003016,0,0,0,0,0,0,0,0
09,003,4711.00,3017,090034711003017,33,33,0,33,0,0,0,0
09,003,4711.00,3018,090034711003018,0,0,0,0,0,0,0,0
09,003,4711.00,3019,090034711003019,0,0,0,0,0,0,0,0
09,003,4711.00,3020,090034711003020,0,0,0,0,0,0,0,0
09,003,4711.00,3021,090034711003021,0,0,0,0,0,0,0,0
09,003,4711.00,3022,090034711003022,25,25,0,25,0,0,0,0
09,003,4711.00,3023,090034711003023,11,11,0,11,0,0,0,0
09,003,4711.00,3024,090034711003024,0,0,0,0,0,0,0,0
09,003,4711.00,3025,090034711003025,52,52,0,52,0,0,0,0
09,003,4711.00,3026,090034711003026,9,9,0,9,0,0,0,0
09,003,4711.00,3027,090034711003027,28,28,0,28,0,0,0,0
09,003,4711.00,3028,090034711003028,31,31,0,31,0,0,0,0
09,003,4711.00,3029,090034711003029,19,19,0,19,0,0,0,0
09,003,4711.00,3030,090034711003030,0,0,0,0,0,0,0,0
09,003,4711.00,3031,090034711003031,21,21,0,21,0,0,0,0
09,003,4711.00,3032,090034711003032,12,12,0,12,0,0,0,0
09,003,4711.00,3033,090034711003033,11,11,0,11,0,0,0,0
09,003,4711.00,3034,090034711003034,9,9,0,9,0,0,0,0
09,003,4711.00,3035,090034711003035,10,10,0,10,0,0,0,0
09,003,4711.00,3036,090034711003036,8,8,0,8,0,0,0,0
09,003,4711.00,3037,090034711003037,10,10,0,10,0,0,0,0
09,003,4711.00,3038,090034711003038,24,24,0,24,0,0,0,0
09,003,4711.00,3039,090034711003039,29,29,0,29,0,0,0,0
09,003,4711.00,3040,090034711003040,10,10,0,10,0,0,0,0
09,003,4711.00,3041,090034711003041,18,18,0,18,0,0,0,0
09,003,4711.00,3042,090034711003042,20,20,0,20,0,0,0,0
09,003,4711.00,3043,090034711003043,23,23,0,23,0,0,0,0
09,003,4711.00,3044,090034711003044,13,13,0,13,0,0,0,0
09,003,4711.00,3045,090034711003045,43,43,0,43,0,0,0,0
09,003,4711.00,3046,090034711003046,0,0,0,0,0,0,0,0
09,003,4712.00,1000,090034712001000,160,160,0,160,1,1,0,1
09,003,4712.00,1002,090034712001002,33,33,0,33,0,0,0,0
09,003,4712.00,1003,090034712001003,45,45,0,45,0,0,0,0
09,003,4712.00,1004,090034712001004,0,0,0,0,0,0,0,0
09,003,4712.00,1005,090034712001005,0,0,0,0,1,1,0,1
09,003,4712.00,1006,090034712001006,10,10,0,10,0,0,0,0
09,003,4712.00,1007,090034712001007,25,25,0,25,0,0,0,0
09,003,4712.00,1008,090034712001008,89,89,0,89,0,0,0,0
09,003,4712.00,1009,090034712001009,12,12,0,12,0,0,0,0
09,003,4712.00,1010,090034712001010,72,72,0,72,0,0,0,0
09,003,4712.00,1011,090034712001011,39,39,0,39,0,0,0,0
09,003,4712.00,1012,090034712001012,20,20,0,20,0,0,0,0
09,003,4712.00,1013,090034712001013,10,10,0,10,1,1,0,1
09,003,4712.00,1014,090034712001014,15,15,0,15,0,0,0,0
09,003,4712.00,1015,090034712001015,14,14,0,14,0,0,0,0
09,003,4712.00,1016,090034712001016,18,18,0,18,0,0,0,0
09,003,4712.00,1017,090034712001017,74,74,0,74,0,0,0,0
09,003,4712.00,1018,090034712001018,0,0,0,0,0,0,0,0
09,003,4712.00,1019,090034712001019,24,24,0,24,0,0,0,0
09,003,4712.00,1020,090034712001020,31,31,0,31,0,0,0,0
09,003,4712.00,1021,090034712001021,14,14,0,14,0,0,0,0
09,003,4712.00,1022,090034712001022,22,22,0,22,0,0,0,0
09,003,4712.00,1023,090034712001023,3,3,0,3,0,0,0,0
09,003,4712.00,1024,090034712001024,0,0,0,0,0,0,0,0
09,003,4712.00,2000,090034712002000,11,11,0,11,0,0,0,0
09,003,4712.00,2001,090034712002001,119,119,0,119,0,0,0,0
09,003,4712.00,2003,090034712002003,13,13,0,13,0,0,0,0
09,003,4712.00,2004,090034712002004,3,3,0,3,0,0,0,0
09,003,4712.00,2005,090034712002005,5,5,0,5,0,0,0,0
09,003,4712.00,2006,090034712002006,18,18,0,18,0,0,0,0
09,003,4712.00,2007,090034712002007,0,0,0,0,0,0,0,0
09,003,4712.00,2008,090034712002008,35,35,0,35,0,0,0,0
09,003,4712.00,2009,090034712002009,0,0,0,0,0,0,0,0
09,003,4712.00,2010,090034712002010,2,2,0,2,0,0,0,0
09,003,4712.00,2012,090034712002012,74,74,0,74,0,0,0,0
09,003,4712.00,2013,090034712002013,12,12,0,12,0,0,0,0
09,003,4712.00,2014,090034712002014,26,26,0,26,0,0,0,0
09,003,4712.00,2015,090034712002015,0,0,0,0,0,0,0,0
09,003,4712.00,2016,090034712002016,0,0,0,0,0,0,0,0
09,003,4712.00,2017,090034712002017,70,70,0,70,0,0,0,0
09,003,4712.00,2018,090034712002018,8,8,0,8,0,0,0,0
09,003,4712.00,2019,090034712002019,37,37,0,37,1,1,0,1
09,003,4712.00,2020,090034712002020,26,26,0,26,0,0,0,0
09,003,4712.00,2021,090034712002021,12,12,0,12,0,0,0,0
09,003,4712.00,2023,090034712002023,4,4,0,4,0,0,0,0
09,003,4712.00,2024,090034712002024,0,0,0,0,0,0,0,0
09,003,4712.00,2026,090034712002026,4,4,0,4,0,0,0,0
09,003,4712.00,2028,090034712002028,0,0,0,0,0,0,0,0
09,003,4713.00,1000,090034713001000,187,187,0,187,0,0,0,0
09,003,4713.00,1002,090034713001002,3,3,0,3,0,0,0,0
09,003,4713.00,1003,090034713001003,13,13,0,13,0,0,0,0
09,003,4713.00,1004,090034713001004,0,0,0,0,0,0,0,0
09,003,4713.00,1005,090034713001005,1,1,0,1,0,0,0,0
09,003,4713.00,1006,090034713001006,67,67,0,67,0,0,0,0
09,003,4713.00,1007,090034713001007,2,2,0,2,0,0,0,0
09,003,4713.00,1008,090034713001008,12,12,0,12,0,0,0,0
09,003,4713.00,1009,090034713001009,1,1,0,1,0,0,0,0
09,003,4713.00,1010,090034713001010,12,12,0,12,0,0,0,0
09,003,4713.00,1011,090034713001011,47,47,0,47,0,0,0,0
09,003,4713.00,1012,090034713001012,1,1,0,1,0,0,0,0
09,003,4713.00,1013,090034713001013,14,14,0,14,0,0,0,0
09,003,4713.00,1014,090034713001014,2,2,0,2,0,0,0,0
09,003,4713.00,1015,090034713001015,44,44,0,44,1,1,0,1
09,003,4713.00,1016,090034713001016,18,18,0,18,0,0,0,0
09,003,4713.00,1017,090034713001017,36,36,0,36,1,1,0,1
09,003,4713.00,1018,090034713001018,23,23,0,23,0,0,0,0
09,003,4713.00,1019,090034713001019,25,25,0,25,0,0,0,0
09,003,4713.00,1020,090034713001020,25,25,0,25,0,0,0,0
09,003,4713.00,1021,090034713001021,5,5,0,5,0,0,0,0
09,003,4713.00,1022,090034713001022,1,1,0,1,0,0,0,0
09,003,4713.00,2000,090034713002000,18,18,0,18,0,0,0,0
09,003,4713.00,2002,090034713002002,72,72,0,72,1,1,0,1
09,003,4713.00,2003,090034713002003,0,0,0,0,0,0,0,0
09,003,4713.00,2006,090034713002006,0,0,0,0,0,0,0,0
09,003,4713.00,2007,090034713002007,37,37,0,37,0,0,0,0
09,003,4713.00,2008,090034713002008,67,67,0,67,0,0,0,0
09,003,4713.00,2009,090034713002009,0,0,0,0,0,0,0,0
09,003,4713.00,2010,090034713002010,74,74,0,74,0,0,0,0
09,003,4713.00,2011,090034713002011,0,0,0,0,0,0,0,0
09,003,4713.00,2012,090034713002012,1,1,0,1,0,0,0,0
09,003,4713.00,2013,090034713002013,0,0,0,0,0,0,0,0
09,003,4713.00,2014,090034713002014,6,6,0,6,1,1,0,1
09,003,4713.00,2015,090034713002015,7,7,0,7,0,0,0,0
09,003,4713.00,2016,090034713002016,58,58,0,58,0,0,0,0
09,003,4713.00,2017,090034713002017,10,10,0,10,0,0,0,0
09,003,4713.00,2018,090034713002018,17,17,0,17,0,0,0,0
09,003,4713.00,2019,090034713002019,16,16,0,16,0,0,0,0
09,003,4713.00,2020,090034713002020,15,15,0,15,0,0,0,0
09,003,4713.00,2021,090034713002021,20,20,0,20,0,0,0,0
09,003,4713.00,2022,090034713002022,16,16,0,16,0,0,0,0
09,003,4713.00,2023,090034713002023,0,0,0,0,0,0,0,0
09,003,4713.00,2024,090034713002024,0,0,0,0,0,0,0,0
09,003,4713.00,2025,090034713002025,10,10,0,10,0,0,0,0
09,003,4713.00,2026,090034713002026,15,15,0,15,0,0,0,0
09,003,4713.00,3000,090034713003000,54,54,0,54,0,0,0,0
09,003,4713.00,3001,090034713003001,47,47,0,47,0,0,0,0
09,003,4713.00,3002,090034713003002,77,77,0,77,0,0,0,0
09,003,4713.00,3003,090034713003003,0,0,0,0,0,0,0,0
09,003,4713.00,3004,090034713003004,64,64,0,64,0,0,0,0
09,003,4713.00,3005,090034713003005,116,116,0,116,0,0,0,0
09,003,4713.00,3006,090034713003006,0,0,0,0,0,0,0,0
09,003,4713.00,3007,090034713003007,2,2,0,2,0,0,0,0
09,003,4713.00,3008,090034713003008,0,0,0,0,0,0,0,0
09,003,4713.00,3009,090034713003009,0,0,0,0,0,0,0,0
09,003,4713.00,3010,090034713003010,14,14,0,14,0,0,0,0
09,003,4713.00,3011,090034713003011,0,0,0,0,0,0,0,0
09,003,4713.00,3012,090034713003012,15,15,0,15,0,0,0,0
09,003,4713.00,3013,090034713003013,0,0,0,0,0,0,0,0
09,003,4713.00,3016,090034713003016,0,0,0,0,0,0,0,0
09,003,4713.00,3017,090034713003017,10,10,0,10,0,0,0,0
09,003,4713.00,3018,090034713003018,0,0,0,0,0,0,0,0
09,003,4713.00,3019,090034713003019,73,73,0,73,0,0,0,0
09,003,4713.00,3020,090034713003020,0,0,0,0,0,0,0,0
09,003,4713.00,3021,090034713003021,0,0,0,0,0,0,0,0
09,003,4713.00,3022,090034713003022,0,0,0,0,0,0,0,0
09,003,4713.00,3025,090034713003025,0,0,0,0,0,0,0,0
09,003,4713.00,3026,090034713003026,0,0,0,0,0,0,0,0
09,003,4713.00,3027,090034713003027,0,0,0,0,0,0,0,0
09,003,4713.00,3028,090034713003028,7,7,0,7,0,0,0,0
09,003,4713.00,3029,090034713003029,76,76,0,76,0,0,0,0
09,003,4713.00,3030,090034713003030,0,0,0,0,0,0,0,0
09,003,4713.00,3031,090034713003031,0,0,0,0,0,0,0,0
09,003,4713.00,3032,090034713003032,0,0,0,0,0,0,0,0
09,003,4713.00,3033,090034713003033,0,0,0,0,0,0,0,0
09,003,4713.00,3034,090034713003034,0,0,0,0,2,2,0,2
09,003,4713.00,3035,090034713003035,2,2,0,2,0,0,0,0
09,003,4713.00,3036,090034713003036,16,16,0,16,0,0,0,0
09,003,4713.00,3037,090034713003037,82,82,0,82,0,0,0,0
09,003,4713.00,3038,090034713003038,180,180,0,180,0,0,0,0
09,003,4713.00,3039,090034713003039,17,17,0,17,0,0,0,0
09,003,4713.00,3040,090034713003040,31,31,0,31,0,0,0,0
09,003,4713.00,3041,090034713003041,12,12,0,12,0,0,0,0
09,003,4713.00,3042,090034713003042,12,12,0,12,0,0,0,0
09,003,4713.00,4000,090034713004000,68,68,0,68,0,0,0,0
09,003,4713.00,4001,090034713004001,5,5,0,5,0,0,0,0
09,003,4713.00,4002,090034713004002,15,15,0,15,0,0,0,0
09,003,4713.00,4003,090034713004003,33,33,0,33,1,1,0,1
09,003,4713.00,4004,090034713004004,68,68,0,68,1,1,0,1
09,003,4713.00,4005,090034713004005,21,21,0,21,0,0,0,0
09,003,4713.00,4006,090034713004006,35,35,0,35,0,0,0,0
09,003,4713.00,4007,090034713004007,26,26,0,26,0,0,0,0
09,003,4713.00,4008,090034713004008,1,1,0,1,0,0,0,0
09,003,4713.00,4009,090034713004009,1,1,0,1,0,0,0,0
09,003,4713.00,4010,090034713004010,0,0,0,0,0,0,0,0
09,003,4713.00,4011,090034713004011,0,0,0,0,0,0,0,0
09,003,4713.00,4016,090034713004016,0,0,0,0,0,0,0,0
09,003,4714.00,1000,090034714001000,50,50,0,50,0,0,0,0
09,003,4714.00,1001,090034714001001,10,10,0,10,0,0,0,0
09,003,4714.00,1002,090034714001002,92,92,0,92,0,0,0,0
09,003,4714.00,1003,090034714001003,18,18,0,18,0,0,0,0
09,003,4714.00,1004,090034714001004,1,1,0,1,0,0,0,0
09,003,4714.00,1005,090034714001005,11,11,0,11,0,0,0,0
09,003,4714.00,1006,090034714001006,29,29,0,29,0,0,0,0
09,003,4714.00,1007,090034714001007,42,42,0,42,0,0,0,0
09,003,4714.00,1008,090034714001008,0,0,0,0,0,0,0,0
09,003,4714.00,1009,090034714001009,472,472,0,472,0,0,0,0
09,003,4714.00,1010,090034714001010,0,0,0,0,0,0,0,0
09,003,4714.00,1011,090034714001011,21,21,0,21,0,0,0,0
09,003,4714.00,1012,090034714001012,31,31,0,31,0,0,0,0
09,003,4714.00,1013,090034714001013,0,0,0,0,0,0,0,0
