STATE,COUNTY,TRACT,BLOCK,GEOID,ORIGINAL_COUNT_OF_HUs,CURRENT_COUNT_OF_HUs,LOCAL_COUNT_OF_HUs,DIFFERENCE_IN_HUs,ORIGINAL_COUNT_OF_GQs,CURRENT_COUNT_OF_GQs,LOCAL_COUNT_OF_GQs,DIFFERENCE_IN_GQs
05,133,0801.00,1027,051330801001027,7,7,0,7,0,0,0,0
05,133,0801.00,1028,051330801001028,0,0,0,0,0,0,0,0
05,133,0801.00,1029,051330801001029,14,14,0,14,0,0,0,0
05,133,0801.00,1030,051330801001030,0,0,0,0,0,0,0,0
05,133,0801.00,1031,051330801001031,6,6,0,6,0,0,0,0
05,133,0801.00,1032,051330801001032,4,4,0,4,0,0,0,0
05,133,0801.00,1033,051330801001033,0,0,0,0,0,0,0,0
05,133,0801.00,1034,051330801001034,7,7,0,7,0,0,0,0
05,133,0801.00,1035,051330801001035,4,4,0,4,0,0,0,0
05,133,0801.00,1036,051330801001036,1,1,0,1,0,0,0,0
05,133,0801.00,1037,051330801001037,5,5,0,5,0,0,0,0
05,133,0801.00,1038,051330801001038,8,8,0,8,0,0,0,0
05,133,0801.00,1039,051330801001039,1,1,0,1,0,0,0,0
05,133,0801.00,1045,051330801001045,0,0,0,0,0,0,0,0
05,133,0801.00,1046,051330801001046,2,2,0,2,0,0,0,0
05,133,0801.00,1049,051330801001049,1,1,0,1,0,0,0,0
05,133,0801.00,1050,051330801001050,7,7,0,7,0,0,0,0
05,133,0801.00,1051,051330801001051,1,1,0,1,0,0,0,0
05,133,0801.00,1052,051330801001052,5,5,0,5,0,0,0,0
05,133,0801.00,1053,051330801001053,0,0,0,0,0,0,0,0
05,133,0801.00,1054,051330801001054,0,0,0,0,0,0,0,0
05,133,0801.00,1055,051330801001055,1,1,0,1,0,0,0,0
05,133,0801.00,1056,051330801001056,2,2,0,2,0,0,0,0
05,133,0801.00,1057,051330801001057,1,1,0,1,0,0,0,0
05,133,0801.00,1059,051330801001059,0,0,0,0,0,0,0,0
05,133,0801.00,1060,051330801001060,0,0,0,0,0,0,0,0
05,133,0801.00,1061,051330801001061,8,8,0,8,0,0,0,0
05,133,0801.00,1062,051330801001062,0,0,0,0,0,0,0,0
05,133,0801.00,1063,051330801001063,0,0,0,0,0,0,0,0
05,133,0801.00,1173,051330801001173,4,4,0,4,0,0,0,0
05,133,0801.00,1174,051330801001174,5,5,0,5,0,0,0,0
05,133,0801.00,1175,051330801001175,0,0,0,0,0,0,0,0
,,,,Unable to Geocode,0,0,0,0,0,0,0,0
,,,,TOTAL,94,94,0,94,0,0,0,0
