SEXEA;ACTPCAE10A;DIPLOE14AR;ANNEE;ESTIM;BINF;BSUP
1;1;1;1;76.6;74.3;79.0
1;1;1;2;57.9;54.9;60.8
1;1;1;3;47.9;44.9;50.9
1;1;1;4;40.2;37.2;43.1
1;1;1;5;34.7;31.7;37.6
1;1;2;1;78.8;76.7;80.9
1;1;2;2;60.4;57.7;63.1
1;1;2;3;48.2;45.4;51.0
1;1;2;4;39.7;36.9;42.4
1;1;2;5;34.2;31.5;36.8
1;1;3;1;73.6;71.0;76.2
1;1;3;2;56.0;52.9;59.1
1;1;3;3;44.9;41.7;48.0
1;1;3;4;36.5;33.4;39.6
1;1;3;5;30.9;28.0;33.9
1;1;4;1;75.6;72.3;78.9
1;1;4;2;59.9;55.7;64.1
1;1;4;3;48.1;43.7;52.4
1;1;4;4;42.9;38.6;47.3
1;1;4;5;36.0;31.8;40.2
1;1;5;1;75.1;72.1;78.1
1;1;5;2;56.1;52.7;59.5
1;1;5;3;44.4;41.0;47.8
1;1;5;4;37.4;34.1;40.6
1;1;5;5;31.2;28.1;34.3
1;1;E;1;76.1;74.9;77.3
1;1;E;2;57.9;56.5;59.4
1;1;E;3;46.6;45.1;48.1
1;1;E;4;39.0;37.5;40.5
1;1;E;5;33.2;31.8;34.6
1;2;1;1;72.5;69.0;76.1
1;2;1;2;57.4;53.4;61.4
1;2;1;3;45.7;41.6;49.7
1;2;1;4;37.1;33.1;41.0
1;2;1;5;31.5;27.7;35.4
1;2;2;1;73.1;70.4;75.8
1;2;2;2;52.6;49.4;55.9
1;2;2;3;41.6;38.4;44.9
1;2;2;4;33.2;30.1;36.3
1;2;2;5;28.4;25.5;31.3
1;2;3;1;73.6;70.6;76.5
1;2;3;2;56.0;52.7;59.3
1;2;3;3;44.9;41.6;48.2
1;2;3;4;36.9;33.6;40.1
1;2;3;5;32.3;29.1;35.4
1;2;4;1;72.9;69.3;76.5
1;2;4;2;52.4;48.3;56.6
1;2;4;3;39.8;35.8;43.7
1;2;4;4;32.1;28.5;35.7
1;2;4;5;28.3;24.8;31.7
1;2;5;1;70.1;67.3;72.9
1;2;5;2;51.3;48.1;54.4
1;2;5;3;40.9;37.8;44.1
1;2;5;4;32.7;29.7;35.8
1;2;5;5;27.6;24.7;30.6
1;2;E;1;72.2;70.8;73.6
1;2;E;2;53.7;52.1;55.3
1;2;E;3;42.5;40.9;44.1
1;2;E;4;34.3;32.8;35.8
1;2;E;5;29.5;28.0;30.9
1;D;1;1;75.2;73.2;77.2
1;D;1;2;57.7;55.3;60.1
1;D;1;3;47.1;44.7;49.5
1;D;1;4;39.1;36.7;41.5
1;D;1;5;33.6;31.2;35.9
1;D;2;1;76.5;74.8;78.1
1;D;2;2;57.2;55.1;59.3
1;D;2;3;45.5;43.4;47.6
1;D;2;4;37.0;34.9;39.1
1;D;2;5;31.8;29.8;33.8
1;D;3;1;73.6;71.6;75.6
