@Caption,データ流通・利活用に資する効果的な企業の取組,,,,,,,
@Creator,平成29年版情報通信白書,,,,,,,
@Date,2017-07-29,,,,,,,
@Language,ja,,,,,,,
@@Title,ja,,,,,,,
,日本（ITAC）企業（N=292）,日本（一般）企業（N=306）,米国企業（N=94）,イギリス企業（N=98）,ドイツ企業（N=101）,,,
@@Unit,ja,,,,,,,
,%,%,%,%,%,,,
@@Baseval,,,,,,,,
,0.01,0.01,0.01,0.01,0.01,,,
@@Datatype,,,,,,,,
xsd:string,xsd:double,xsd:double,xsd:double,xsd:double,xsd:double,,,
@Note,,,,,,,,
提供されたデータの利活用内容や提供先に関する定期的な情報の提供（メール、Ｗｅｂでの公開など）,36.1,34.9,43.0,31.8,39.1,,,
いつでも情報の収集や使用を無効にできるオプトアウト手段の簡略化,54.1,29.4,43.0,41.1,42.7,,,
データの提供・利用に関する同意プロセスの簡略化（利用目的、第三者提供の有無などの分かり易い表示など）,48.1,26.9,43.0,38.3,47.3,,,
適切な個人情報保護の体制を整備していることを表す認定（プライバシーマークなど）の取得,50.3,29.5,26.2,26.2,40.0,,,
データの第三者提供時における確認・記録の作成、及びその記録の保管（トレーサビリティの確保）,57.4,23.9,16.8,18.7,30.9,,,
データ漏えい等のインシデント発生時における対応指針（対応フロー、責任範囲の規定等）の明示,61.7,28.6,22.4,9.3,25.5,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
