"@Caption","勤務先のテレワーク実施率","","","","","",""
"@Creator","令和3年版情報通信白書","","","","","",""
"@Date","2021-07-30","","","","","",""
"@Language","ja","","","","","",""
"@@Title","ja","","","","","",""
"","10割（ほぼ全員）","7～10割未満","5～7割未満","3～5割未満","1～3割未満","0割(ほとんどない）","わからない"
"@@Unit","ja","","","","","",""
"","％","％","％","％","％","％","％"
"@@Baseval","","","","","","",""
"","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"@@Datatype","","","","","","",""
"xsd:string","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double"
"@Note","","","","","","",""
"１回目
（n=286）","20.3","24.5","18.9","15.0","11.9","5.6","3.8"
"２回目
（n=286）","14.3","21.3","19.2","15.0","16.1","10.8","3.1"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
