第50表　失業対策費の状況,,,,,,,,,,,
（単位　百万円・％）,,,,,,,,,,,
区　　　分,平　成　26　年　度,,,,,,"平成25年度
純計額",,比　　　　較,,
,都道府県,,市　町　村,,純　計　額,,,,増減額,増減率,"前年度
増減率"
人件費,883,1.9,148,9.8,"1,031",3.0,"1,041",1.1,△ 10,△ 1.0,△ 27.5
物件費,"15,914",33.6,"1,126",74.8,"17,040",48.9,"20,016",22.0,"△ 2,976",△ 14.9,△ 13.3
補助費等,"29,482",62.2,74,4.9,"15,488",44.5,"17,779",19.5,"△ 2,291",△ 12.9,124.1
失業対策事業費,－,－,95,6.3,95,0.3,162,0.2,△ 67,△ 41.4,15.7
　補助事業費,－,－,2,0.1,2,0.0,63,0.1,△ 61,△ 96.8,53.7
　単独事業費,－,－,94,6.2,94,0.3,99,0.1,△ 5,△ 5.1,△ 1.0
積立金,789,1.7,0,0.0,789,2.3,"51,622",56.7,"△ 50,833",△ 98.5,△ 16.2
貸付金,302,0.6,60,4.0,362,1.0,385,0.4,△ 23,△ 6.0,△ 13.1
その他,32,0.0,2,0.2,34,0.0,3,0.1,31,"1,033.3",0.0
合計,"47,402",100.0,"1,505",100.0,"34,839",100.0,"91,008",100.0,"△ 56,169",△ 61.7,△ 3.9
