第105表　公営事業決算の状況,,,,,,,,,
（単位　百万円）,,,,,,,,,
区　　　　　　分,令　和　2　年　度　(A),,,令　和　元　年　度　(B),,,増　　　減　(A)－(B),,
,収　入,支　出,差　引,収　入,支　出,差　引,収　入,支　出,差　引
公営企業等,"17,801,004","18,075,131","△ 274,127","17,929,914","17,802,047","127,867","△ 128,910","273,084","△ 401,994"
　法適用企業,"16,649,337","17,005,365","△ 356,028","15,602,879","15,670,824","△ 67,945","1,046,458","1,334,541","△ 288,083"
　法非適用企業,"1,151,667","1,069,766","81,901","2,327,035","2,131,223","195,812","△ 1,175,368","△ 1,061,457","△ 113,911"
収益事業,"4,701,211","4,470,722","230,489","3,824,813","3,681,033","143,780","876,398","789,689","86,709"
国民健康保険事業,"24,215,261","23,435,687","779,574","24,679,197","24,265,684","413,513","△ 463,936","△ 829,997","366,061"
後期高齢者医療事業,"18,468,018","17,619,472","848,546","18,353,428","17,967,709","385,719","114,590","△ 348,237","462,827"
介護保険事業,"11,603,063","11,273,110","329,953","11,313,273","11,059,092","254,181","289,790","214,018","75,772"
農業共済事業,"2,172","2,151",21,"7,892","7,693",199,"△ 5,720","△ 5,542",△ 178
交通災害共済事業,"4,666","3,410","1,256","5,206","4,103","1,103",△ 540,△ 693,153
公立大学附属病院事業,"2,883","2,958",△ 75,"2,838","2,768",70,45,190,△ 145
合計,"76,798,278","74,882,641","1,915,637","76,116,561","74,790,129","1,326,432","681,717","92,512","589,205"
"（注）公営企業等の額の算出については、次による。
　　　1　収入額　法適用：総収益（消費税込み）－長期前受金戻入＋資本的収入
　　　　　　　　　　法非適用：総収益＋資本的収入＋前年度繰越金
　　　2　支出額　法適用：総費用（消費税込み）－減価償却費＋資本的支出
　　　　　　　　　　法非適用：総費用＋資本的支出＋積立金＋繰上充用金
　　　なお、公営企業型地方独立行政法人を法適用企業に含め、資産見返戻入を長期前受金戻入に計上している。",,,,,,,,,
